Identifier A,Identifier B,Interaction,negative_source,left_partition_size,right_partition_size
P06701,P32505,0,bipartite_non_edge,169.0,155.0
P06701,P32523,0,bipartite_non_edge,169.0,155.0
P06701,P32628,0,bipartite_non_edge,169.0,155.0
P06701,P32796,0,bipartite_non_edge,169.0,155.0
P06701,P32829,0,bipartite_non_edge,169.0,155.0
P06701,P32917,0,bipartite_non_edge,169.0,155.0
P06701,P36068,0,bipartite_non_edge,169.0,155.0
P06701,P36094,0,bipartite_non_edge,169.0,155.0
P06701,P38042,0,bipartite_non_edge,169.0,155.0
P06701,P38147,0,bipartite_non_edge,169.0,155.0
P06701,P38748,0,bipartite_non_edge,169.0,155.0
P06701,P39113,0,bipartite_non_edge,169.0,155.0
P06701,P40054,0,bipartite_non_edge,169.0,155.0
P06701,P40325,0,bipartite_non_edge,169.0,155.0
P06701,P47037,0,bipartite_non_edge,169.0,155.0
P06701,P47095,0,bipartite_non_edge,169.0,155.0
P06701,P52917,0,bipartite_non_edge,169.0,155.0
P06701,P81449,0,bipartite_non_edge,169.0,155.0
P06701,Q00582,0,bipartite_non_edge,169.0,155.0
P06701,Q03898,0,bipartite_non_edge,169.0,155.0
P06701,Q05568,0,bipartite_non_edge,169.0,155.0
P06701,Q05580,0,bipartite_non_edge,169.0,155.0
P06701,Q06440,0,bipartite_non_edge,169.0,155.0
P06701,Q06706,0,bipartite_non_edge,169.0,155.0
P06701,Q08601,0,bipartite_non_edge,169.0,155.0
P06701,Q12440,0,bipartite_non_edge,169.0,155.0
P06701,Q92331,0,bipartite_non_edge,169.0,155.0
P06778,P08638,0,bipartite_non_edge,169.0,155.0
P06778,P14904,0,bipartite_non_edge,169.0,155.0
P06778,P15873,0,bipartite_non_edge,169.0,155.0
P06778,P15992,0,bipartite_non_edge,169.0,155.0
P06778,P17065,0,bipartite_non_edge,169.0,155.0
P06778,P19262,0,bipartite_non_edge,169.0,155.0
P06778,P20050,0,bipartite_non_edge,169.0,155.0
P06778,P21264,0,bipartite_non_edge,169.0,155.0
P06778,P22804,0,bipartite_non_edge,169.0,155.0
P06778,P28795,0,bipartite_non_edge,169.0,155.0
P06778,P30822,0,bipartite_non_edge,169.0,155.0
P06778,P32458,0,bipartite_non_edge,169.0,155.0
P06778,P32468,0,bipartite_non_edge,169.0,155.0
P06778,P32628,0,bipartite_non_edge,169.0,155.0
P06778,P32797,0,bipartite_non_edge,169.0,155.0
P06778,P32829,0,bipartite_non_edge,169.0,155.0
P06778,P33338,0,bipartite_non_edge,169.0,155.0
P06778,P38523,0,bipartite_non_edge,169.0,155.0
P06778,P38822,0,bipartite_non_edge,169.0,155.0
P06778,P38853,0,bipartite_non_edge,169.0,155.0
P06778,P38930,0,bipartite_non_edge,169.0,155.0
P06778,P39723,0,bipartite_non_edge,169.0,155.0
P06778,P39743,0,bipartite_non_edge,169.0,155.0
P06778,P39929,0,bipartite_non_edge,169.0,155.0
P06778,P40073,0,bipartite_non_edge,169.0,155.0
P06778,P40316,0,bipartite_non_edge,169.0,155.0
P06778,P40325,0,bipartite_non_edge,169.0,155.0
P06778,P42935,0,bipartite_non_edge,169.0,155.0
P06778,P47017,0,bipartite_non_edge,169.0,155.0
P06778,P50623,0,bipartite_non_edge,169.0,155.0
P06778,P53617,0,bipartite_non_edge,169.0,155.0
P06778,P81449,0,bipartite_non_edge,169.0,155.0
P06778,Q02939,0,bipartite_non_edge,169.0,155.0
P06778,Q03898,0,bipartite_non_edge,169.0,155.0
P06778,Q03954,0,bipartite_non_edge,169.0,155.0
P06778,Q04868,0,bipartite_non_edge,169.0,155.0
P06778,Q04921,0,bipartite_non_edge,169.0,155.0
P06778,Q05568,0,bipartite_non_edge,169.0,155.0
P06778,Q06410,0,bipartite_non_edge,169.0,155.0
P06778,Q06706,0,bipartite_non_edge,169.0,155.0
P06778,Q12365,0,bipartite_non_edge,169.0,155.0
P06782,P06786,0,bipartite_non_edge,169.0,155.0
P06782,P06843,0,bipartite_non_edge,169.0,155.0
P06782,P08638,0,bipartite_non_edge,169.0,155.0
P06782,P17106,0,bipartite_non_edge,169.0,155.0
P06782,P19262,0,bipartite_non_edge,169.0,155.0
P06782,P21304,0,bipartite_non_edge,169.0,155.0
P06782,P22216,0,bipartite_non_edge,169.0,155.0
P06782,P32504,0,bipartite_non_edge,169.0,155.0
P06782,P32639,0,bipartite_non_edge,169.0,155.0
P06782,P32797,0,bipartite_non_edge,169.0,155.0
P06782,P32861,0,bipartite_non_edge,169.0,155.0
P06782,P33338,0,bipartite_non_edge,169.0,155.0
P06782,P35056,0,bipartite_non_edge,169.0,155.0
P06782,P38147,0,bipartite_non_edge,169.0,155.0
P06782,P39929,0,bipartite_non_edge,169.0,155.0
P06782,P39998,0,bipartite_non_edge,169.0,155.0
P06782,P40202,0,bipartite_non_edge,169.0,155.0
P06782,P40325,0,bipartite_non_edge,169.0,155.0
P06782,P40460,0,bipartite_non_edge,169.0,155.0
P06782,P47095,0,bipartite_non_edge,169.0,155.0
P06782,P47115,0,bipartite_non_edge,169.0,155.0
P06782,P53253,0,bipartite_non_edge,169.0,155.0
P06782,Q02100,0,bipartite_non_edge,169.0,155.0
P06782,Q02884,0,bipartite_non_edge,169.0,155.0
P06782,Q02939,0,bipartite_non_edge,169.0,155.0
P06782,Q03654,0,bipartite_non_edge,169.0,155.0
P06782,Q03818,0,bipartite_non_edge,169.0,155.0
P06782,Q07457,0,bipartite_non_edge,169.0,155.0
P06782,Q12020,0,bipartite_non_edge,169.0,155.0
P06782,Q12084,0,bipartite_non_edge,169.0,155.0
P06782,Q12446,0,bipartite_non_edge,169.0,155.0
P06782,Q92331,0,bipartite_non_edge,169.0,155.0
P06786,P06843,0,bipartite_non_edge,169.0,155.0
P06786,P07270,0,bipartite_non_edge,169.0,155.0
P06786,P07272,0,bipartite_non_edge,169.0,155.0
P06786,P08638,0,bipartite_non_edge,169.0,155.0
P06786,P09938,0,bipartite_non_edge,169.0,155.0
P06786,P11978,0,bipartite_non_edge,169.0,155.0
P06786,P17106,0,bipartite_non_edge,169.0,155.0
P06786,P25367,0,bipartite_non_edge,169.0,155.0
P06786,P29469,0,bipartite_non_edge,169.0,155.0
P06786,P31111,0,bipartite_non_edge,169.0,155.0
P06786,P32796,0,bipartite_non_edge,169.0,155.0
P06786,P32797,0,bipartite_non_edge,169.0,155.0
P06786,P36094,0,bipartite_non_edge,169.0,155.0
P06786,P38147,0,bipartite_non_edge,169.0,155.0
P06786,P38339,0,bipartite_non_edge,169.0,155.0
P06786,P38874,0,bipartite_non_edge,169.0,155.0
P06786,P39743,0,bipartite_non_edge,169.0,155.0
P06786,P40089,0,bipartite_non_edge,169.0,155.0
P06786,P40316,0,bipartite_non_edge,169.0,155.0
P06786,P40969,0,bipartite_non_edge,169.0,155.0
P06786,P47129,0,bipartite_non_edge,169.0,155.0
P06786,P52891,0,bipartite_non_edge,169.0,155.0
P06786,P53971,0,bipartite_non_edge,169.0,155.0
P06786,P54861,0,bipartite_non_edge,169.0,155.0
P06786,P57743,0,bipartite_non_edge,169.0,155.0
P06786,Q00582,0,bipartite_non_edge,169.0,155.0
P06786,Q02100,0,bipartite_non_edge,169.0,155.0
P06786,Q04477,0,bipartite_non_edge,169.0,155.0
P06786,Q05080,0,bipartite_non_edge,169.0,155.0
P06786,Q05791,0,bipartite_non_edge,169.0,155.0
P06786,Q08581,0,bipartite_non_edge,169.0,155.0
P06786,Q08601,0,bipartite_non_edge,169.0,155.0
P06786,Q12084,0,bipartite_non_edge,169.0,155.0
P06786,Q12446,0,bipartite_non_edge,169.0,155.0
P06786,Q3E7C1,0,bipartite_non_edge,169.0,155.0
P06786,Q92331,0,bipartite_non_edge,169.0,155.0
P06843,P08964,0,bipartite_non_edge,169.0,155.0
P06843,P09938,0,bipartite_non_edge,169.0,155.0
P06843,P0C0X0,0,bipartite_non_edge,169.0,155.0
P06843,P16649,0,bipartite_non_edge,169.0,155.0
P06843,P17065,0,bipartite_non_edge,169.0,155.0
P06843,P21264,0,bipartite_non_edge,169.0,155.0
P06843,P21524,0,bipartite_non_edge,169.0,155.0
P06843,P22216,0,bipartite_non_edge,169.0,155.0
P06843,P24279,0,bipartite_non_edge,169.0,155.0
P06843,P25342,0,bipartite_non_edge,169.0,155.0
P06843,P25454,0,bipartite_non_edge,169.0,155.0
P06843,P26343,0,bipartite_non_edge,169.0,155.0
P06843,P32458,0,bipartite_non_edge,169.0,155.0
P06843,P32796,0,bipartite_non_edge,169.0,155.0
P06843,P32861,0,bipartite_non_edge,169.0,155.0
P06843,P32917,0,bipartite_non_edge,169.0,155.0
P06843,P34730,0,bipartite_non_edge,169.0,155.0
P06843,P35191,0,bipartite_non_edge,169.0,155.0
P06843,P38785,0,bipartite_non_edge,169.0,155.0
P06843,P39007,0,bipartite_non_edge,169.0,155.0
P06843,P39928,0,bipartite_non_edge,169.0,155.0
P06843,P40054,0,bipartite_non_edge,169.0,155.0
P06843,P40151,0,bipartite_non_edge,169.0,155.0
P06843,P40316,0,bipartite_non_edge,169.0,155.0
P06843,P40957,0,bipartite_non_edge,169.0,155.0
P06843,P41543,0,bipartite_non_edge,169.0,155.0
P06843,P47095,0,bipartite_non_edge,169.0,155.0
P06843,P48361,0,bipartite_non_edge,169.0,155.0
P06843,P53112,0,bipartite_non_edge,169.0,155.0
P06843,Q02908,0,bipartite_non_edge,169.0,155.0
P06843,Q02939,0,bipartite_non_edge,169.0,155.0
P06843,Q03898,0,bipartite_non_edge,169.0,155.0
P06843,Q03954,0,bipartite_non_edge,169.0,155.0
P06843,Q05080,0,bipartite_non_edge,169.0,155.0
P06843,Q06706,0,bipartite_non_edge,169.0,155.0
P06843,Q08581,0,bipartite_non_edge,169.0,155.0
P06843,Q12033,0,bipartite_non_edge,169.0,155.0
P06843,Q12154,0,bipartite_non_edge,169.0,155.0
P06843,Q12263,0,bipartite_non_edge,169.0,155.0
P06843,Q12329,0,bipartite_non_edge,169.0,155.0
P07270,P10862,0,bipartite_non_edge,169.0,155.0
P07270,P25454,0,bipartite_non_edge,169.0,155.0
P07270,P28743,0,bipartite_non_edge,169.0,155.0
P07270,P30822,0,bipartite_non_edge,169.0,155.0
P07270,P31111,0,bipartite_non_edge,169.0,155.0
P07270,P32505,0,bipartite_non_edge,169.0,155.0
P07270,P32618,0,bipartite_non_edge,169.0,155.0
P07270,P32797,0,bipartite_non_edge,169.0,155.0
P07270,P33419,0,bipartite_non_edge,169.0,155.0
P07270,P36068,0,bipartite_non_edge,169.0,155.0
P07270,P38272,0,bipartite_non_edge,169.0,155.0
P07270,P38523,0,bipartite_non_edge,169.0,155.0
P07270,P39743,0,bipartite_non_edge,169.0,155.0
P07270,P39928,0,bipartite_non_edge,169.0,155.0
P07270,P40054,0,bipartite_non_edge,169.0,155.0
P07270,P40969,0,bipartite_non_edge,169.0,155.0
P07270,P41543,0,bipartite_non_edge,169.0,155.0
P07270,P43639,0,bipartite_non_edge,169.0,155.0
P07270,P46954,0,bipartite_non_edge,169.0,155.0
P07270,P61829,0,bipartite_non_edge,169.0,155.0
P07270,Q02884,0,bipartite_non_edge,169.0,155.0
P07270,Q04411,0,bipartite_non_edge,169.0,155.0
P07270,Q06169,0,bipartite_non_edge,169.0,155.0
P07272,P17106,0,bipartite_non_edge,169.0,155.0
P07272,P21304,0,bipartite_non_edge,169.0,155.0
P07272,P21374,0,bipartite_non_edge,169.0,155.0
P07272,P25367,0,bipartite_non_edge,169.0,155.0
P07272,P27515,0,bipartite_non_edge,169.0,155.0
P07272,P29340,0,bipartite_non_edge,169.0,155.0
P07272,P31539,0,bipartite_non_edge,169.0,155.0
P07272,P33419,0,bipartite_non_edge,169.0,155.0
P07272,P35191,0,bipartite_non_edge,169.0,155.0
P07272,P40089,0,bipartite_non_edge,169.0,155.0
P07272,P40151,0,bipartite_non_edge,169.0,155.0
P07272,P40957,0,bipartite_non_edge,169.0,155.0
P07272,P46954,0,bipartite_non_edge,169.0,155.0
P07272,P53184,0,bipartite_non_edge,169.0,155.0
P07272,P53971,0,bipartite_non_edge,169.0,155.0
P07272,Q00582,0,bipartite_non_edge,169.0,155.0
P07272,Q02884,0,bipartite_non_edge,169.0,155.0
P07272,Q03818,0,bipartite_non_edge,169.0,155.0
P07272,Q04411,0,bipartite_non_edge,169.0,155.0
P07272,Q04477,0,bipartite_non_edge,169.0,155.0
P07272,Q05080,0,bipartite_non_edge,169.0,155.0
P07272,Q05580,0,bipartite_non_edge,169.0,155.0
P07272,Q12084,0,bipartite_non_edge,169.0,155.0
P07272,Q12329,0,bipartite_non_edge,169.0,155.0
P08638,P08964,0,bipartite_non_edge,169.0,155.0
P08638,P15992,0,bipartite_non_edge,169.0,155.0
P08638,P16474,0,bipartite_non_edge,169.0,155.0
P08638,P17065,0,bipartite_non_edge,169.0,155.0
P08638,P21374,0,bipartite_non_edge,169.0,155.0
P08638,P22216,0,bipartite_non_edge,169.0,155.0
P08638,P25454,0,bipartite_non_edge,169.0,155.0
P08638,P30822,0,bipartite_non_edge,169.0,155.0
P08638,P32389,0,bipartite_non_edge,169.0,155.0
P08638,P32917,0,bipartite_non_edge,169.0,155.0
P08638,P35056,0,bipartite_non_edge,169.0,155.0
P08638,P36068,0,bipartite_non_edge,169.0,155.0
P08638,P38247,0,bipartite_non_edge,169.0,155.0
P08638,P38339,0,bipartite_non_edge,169.0,155.0
P08638,P39928,0,bipartite_non_edge,169.0,155.0
P08638,P40485,0,bipartite_non_edge,169.0,155.0
P08638,P47037,0,bipartite_non_edge,169.0,155.0
P08638,P47095,0,bipartite_non_edge,169.0,155.0
P08638,P50623,0,bipartite_non_edge,169.0,155.0
P08638,P52917,0,bipartite_non_edge,169.0,155.0
P08638,P53253,0,bipartite_non_edge,169.0,155.0
P08638,Q06410,0,bipartite_non_edge,169.0,155.0
P08638,Q06675,0,bipartite_non_edge,169.0,155.0
P08638,Q07457,0,bipartite_non_edge,169.0,155.0
P08638,Q12159,0,bipartite_non_edge,169.0,155.0
P08964,P11978,0,bipartite_non_edge,169.0,155.0
P08964,P14291,0,bipartite_non_edge,169.0,155.0
P08964,P16474,0,bipartite_non_edge,169.0,155.0
P08964,P20967,0,bipartite_non_edge,169.0,155.0
P08964,P21304,0,bipartite_non_edge,169.0,155.0
P08964,P28743,0,bipartite_non_edge,169.0,155.0
P08964,P30822,0,bipartite_non_edge,169.0,155.0
P08964,P31539,0,bipartite_non_edge,169.0,155.0
P08964,P33419,0,bipartite_non_edge,169.0,155.0
P08964,P36094,0,bipartite_non_edge,169.0,155.0
P08964,P38523,0,bipartite_non_edge,169.0,155.0
P08964,P39743,0,bipartite_non_edge,169.0,155.0
P08964,P40073,0,bipartite_non_edge,169.0,155.0
P08964,P40316,0,bipartite_non_edge,169.0,155.0
P08964,P47011,0,bipartite_non_edge,169.0,155.0
P08964,P52891,0,bipartite_non_edge,169.0,155.0
P08964,P53253,0,bipartite_non_edge,169.0,155.0
P08964,P53886,0,bipartite_non_edge,169.0,155.0
P08964,Q00582,0,bipartite_non_edge,169.0,155.0
P08964,Q03860,0,bipartite_non_edge,169.0,155.0
P08964,Q05580,0,bipartite_non_edge,169.0,155.0
P08964,Q12263,0,bipartite_non_edge,169.0,155.0
P08964,Q12390,0,bipartite_non_edge,169.0,155.0
P08964,Q92331,0,bipartite_non_edge,169.0,155.0
P09201,P09938,0,bipartite_non_edge,169.0,155.0
P09201,P15873,0,bipartite_non_edge,169.0,155.0
P09201,P20967,0,bipartite_non_edge,169.0,155.0
P09201,P21264,0,bipartite_non_edge,169.0,155.0
P09201,P21374,0,bipartite_non_edge,169.0,155.0
P09201,P23337,0,bipartite_non_edge,169.0,155.0
P09201,P28743,0,bipartite_non_edge,169.0,155.0
P09201,P29340,0,bipartite_non_edge,169.0,155.0
P09201,P35191,0,bipartite_non_edge,169.0,155.0
P09201,P36094,0,bipartite_non_edge,169.0,155.0
P09201,P38042,0,bipartite_non_edge,169.0,155.0
P09201,P38272,0,bipartite_non_edge,169.0,155.0
P09201,P38523,0,bipartite_non_edge,169.0,155.0
P09201,P39929,0,bipartite_non_edge,169.0,155.0
P09201,P40054,0,bipartite_non_edge,169.0,155.0
P09201,P40316,0,bipartite_non_edge,169.0,155.0
P09201,P43639,0,bipartite_non_edge,169.0,155.0
P09201,P46954,0,bipartite_non_edge,169.0,155.0
P09201,P53253,0,bipartite_non_edge,169.0,155.0
P09201,Q03654,0,bipartite_non_edge,169.0,155.0
P09201,Q03818,0,bipartite_non_edge,169.0,155.0
P09201,Q03954,0,bipartite_non_edge,169.0,155.0
P09201,Q05080,0,bipartite_non_edge,169.0,155.0
P09201,Q12020,0,bipartite_non_edge,169.0,155.0
P09201,Q12066,0,bipartite_non_edge,169.0,155.0
P09201,Q12334,0,bipartite_non_edge,169.0,155.0
P09798,P12904,0,bipartite_non_edge,169.0,155.0
P09798,P14904,0,bipartite_non_edge,169.0,155.0
P09798,P17106,0,bipartite_non_edge,169.0,155.0
P09798,P17709,0,bipartite_non_edge,169.0,155.0
P09798,P20050,0,bipartite_non_edge,169.0,155.0
P09798,P22804,0,bipartite_non_edge,169.0,155.0
P09798,P25454,0,bipartite_non_edge,169.0,155.0
P09798,P29469,0,bipartite_non_edge,169.0,155.0
P09798,P30822,0,bipartite_non_edge,169.0,155.0
P09798,P32458,0,bipartite_non_edge,169.0,155.0
P09798,P32468,0,bipartite_non_edge,169.0,155.0
P09798,P32628,0,bipartite_non_edge,169.0,155.0
P09798,P32797,0,bipartite_non_edge,169.0,155.0
P09798,P32861,0,bipartite_non_edge,169.0,155.0
P09798,P33338,0,bipartite_non_edge,169.0,155.0
P09798,P33420,0,bipartite_non_edge,169.0,155.0
P09798,P35056,0,bipartite_non_edge,169.0,155.0
P09798,P39007,0,bipartite_non_edge,169.0,155.0
P09798,P39998,0,bipartite_non_edge,169.0,155.0
P09798,P40073,0,bipartite_non_edge,169.0,155.0
P09798,P40089,0,bipartite_non_edge,169.0,155.0
P09798,P40460,0,bipartite_non_edge,169.0,155.0
P09798,P43605,0,bipartite_non_edge,169.0,155.0
P09798,P46946,0,bipartite_non_edge,169.0,155.0
P09798,P47037,0,bipartite_non_edge,169.0,155.0
P09798,P47095,0,bipartite_non_edge,169.0,155.0
P09798,P52891,0,bipartite_non_edge,169.0,155.0
P09798,P53112,0,bipartite_non_edge,169.0,155.0
P09798,P81449,0,bipartite_non_edge,169.0,155.0
P09798,Q02100,0,bipartite_non_edge,169.0,155.0
P09798,Q02908,0,bipartite_non_edge,169.0,155.0
P09798,Q03818,0,bipartite_non_edge,169.0,155.0
P09798,Q03898,0,bipartite_non_edge,169.0,155.0
P09798,Q04003,0,bipartite_non_edge,169.0,155.0
P09798,Q06169,0,bipartite_non_edge,169.0,155.0
P09798,Q06706,0,bipartite_non_edge,169.0,155.0
P09798,Q08581,0,bipartite_non_edge,169.0,155.0
P09798,Q12134,0,bipartite_non_edge,169.0,155.0
P09798,Q12306,0,bipartite_non_edge,169.0,155.0
P09798,Q3E7C1,0,bipartite_non_edge,169.0,155.0
P09938,P14741,0,bipartite_non_edge,169.0,155.0
P09938,P14904,0,bipartite_non_edge,169.0,155.0
P09938,P15873,0,bipartite_non_edge,169.0,155.0
P09938,P22216,0,bipartite_non_edge,169.0,155.0
P09938,P24719,0,bipartite_non_edge,169.0,155.0
P09938,P26343,0,bipartite_non_edge,169.0,155.0
P09938,P30822,0,bipartite_non_edge,169.0,155.0
P09938,P32361,0,bipartite_non_edge,169.0,155.0
P09938,P32523,0,bipartite_non_edge,169.0,155.0
P09938,P34730,0,bipartite_non_edge,169.0,155.0
P09938,P39113,0,bipartite_non_edge,169.0,155.0
P09938,P39743,0,bipartite_non_edge,169.0,155.0
P09938,P40460,0,bipartite_non_edge,169.0,155.0
P09938,P41697,0,bipartite_non_edge,169.0,155.0
P09938,P52891,0,bipartite_non_edge,169.0,155.0
P09938,P53253,0,bipartite_non_edge,169.0,155.0
P09938,P53895,0,bipartite_non_edge,169.0,155.0
P09938,P54786,0,bipartite_non_edge,169.0,155.0
P09938,Q03818,0,bipartite_non_edge,169.0,155.0
P09938,Q04048,0,bipartite_non_edge,169.0,155.0
P09938,Q06675,0,bipartite_non_edge,169.0,155.0
P09938,Q12134,0,bipartite_non_edge,169.0,155.0
P0C0X0,P14741,0,bipartite_non_edge,169.0,155.0
P0C0X0,P16649,0,bipartite_non_edge,169.0,155.0
P0C0X0,P23561,0,bipartite_non_edge,169.0,155.0
P0C0X0,P31111,0,bipartite_non_edge,169.0,155.0
P0C0X0,P31539,0,bipartite_non_edge,169.0,155.0
P0C0X0,P32468,0,bipartite_non_edge,169.0,155.0
P0C0X0,P32505,0,bipartite_non_edge,169.0,155.0
P0C0X0,P32908,0,bipartite_non_edge,169.0,155.0
P0C0X0,P36068,0,bipartite_non_edge,169.0,155.0
P0C0X0,P39723,0,bipartite_non_edge,169.0,155.0
P0C0X0,P40073,0,bipartite_non_edge,169.0,155.0
P0C0X0,P40460,0,bipartite_non_edge,169.0,155.0
P0C0X0,P41921,0,bipartite_non_edge,169.0,155.0
P0C0X0,P43639,0,bipartite_non_edge,169.0,155.0
P0C0X0,Q02884,0,bipartite_non_edge,169.0,155.0
P0C0X0,Q03790,0,bipartite_non_edge,169.0,155.0
P0C0X0,Q06169,0,bipartite_non_edge,169.0,155.0
P0C0X0,Q12159,0,bipartite_non_edge,169.0,155.0
P10862,P11075,0,bipartite_non_edge,169.0,155.0
P10862,P14291,0,bipartite_non_edge,169.0,155.0
P10862,P14741,0,bipartite_non_edge,169.0,155.0
P10862,P16474,0,bipartite_non_edge,169.0,155.0
P10862,P16522,0,bipartite_non_edge,169.0,155.0
P10862,P17106,0,bipartite_non_edge,169.0,155.0
P10862,P20050,0,bipartite_non_edge,169.0,155.0
P10862,P21524,0,bipartite_non_edge,169.0,155.0
P10862,P22216,0,bipartite_non_edge,169.0,155.0
P10862,P26343,0,bipartite_non_edge,169.0,155.0
P10862,P30771,0,bipartite_non_edge,169.0,155.0
P10862,P32628,0,bipartite_non_edge,169.0,155.0
P10862,P33420,0,bipartite_non_edge,169.0,155.0
P10862,P38822,0,bipartite_non_edge,169.0,155.0
P10862,P38853,0,bipartite_non_edge,169.0,155.0
P10862,P39081,0,bipartite_non_edge,169.0,155.0
P10862,P39723,0,bipartite_non_edge,169.0,155.0
P10862,P39929,0,bipartite_non_edge,169.0,155.0
P10862,P40151,0,bipartite_non_edge,169.0,155.0
P10862,P40460,0,bipartite_non_edge,169.0,155.0
P10862,P41695,0,bipartite_non_edge,169.0,155.0
P10862,P41697,0,bipartite_non_edge,169.0,155.0
P10862,P43639,0,bipartite_non_edge,169.0,155.0
P10862,Q03954,0,bipartite_non_edge,169.0,155.0
P10862,Q04048,0,bipartite_non_edge,169.0,155.0
P10862,Q04477,0,bipartite_non_edge,169.0,155.0
P10862,Q06708,0,bipartite_non_edge,169.0,155.0
P10862,Q12033,0,bipartite_non_edge,169.0,155.0
P10862,Q12084,0,bipartite_non_edge,169.0,155.0
P10862,Q12102,0,bipartite_non_edge,169.0,155.0
P11075,P12753,0,bipartite_non_edge,169.0,155.0
P11075,P15873,0,bipartite_non_edge,169.0,155.0
P11075,P19262,0,bipartite_non_edge,169.0,155.0
P11075,P24279,0,bipartite_non_edge,169.0,155.0
P11075,P28743,0,bipartite_non_edge,169.0,155.0
P11075,P29340,0,bipartite_non_edge,169.0,155.0
P11075,P29469,0,bipartite_non_edge,169.0,155.0
P11075,P34730,0,bipartite_non_edge,169.0,155.0
P11075,P36094,0,bipartite_non_edge,169.0,155.0
P11075,P43605,0,bipartite_non_edge,169.0,155.0
P11075,P53886,0,bipartite_non_edge,169.0,155.0
P11075,Q03654,0,bipartite_non_edge,169.0,155.0
P11075,Q04003,0,bipartite_non_edge,169.0,155.0
P11075,Q05568,0,bipartite_non_edge,169.0,155.0
P11075,Q07457,0,bipartite_non_edge,169.0,155.0
P11075,Q12440,0,bipartite_non_edge,169.0,155.0
P11746,P14741,0,bipartite_non_edge,169.0,155.0
P11746,P15873,0,bipartite_non_edge,169.0,155.0
P11746,P29469,0,bipartite_non_edge,169.0,155.0
P11746,P33419,0,bipartite_non_edge,169.0,155.0
P11746,P36068,0,bipartite_non_edge,169.0,155.0
P11746,P36094,0,bipartite_non_edge,169.0,155.0
P11746,P38042,0,bipartite_non_edge,169.0,155.0
P11746,P38822,0,bipartite_non_edge,169.0,155.0
P11746,P38874,0,bipartite_non_edge,169.0,155.0
P11746,P40151,0,bipartite_non_edge,169.0,155.0
P11746,P40582,0,bipartite_non_edge,169.0,155.0
P11746,P40969,0,bipartite_non_edge,169.0,155.0
P11746,P42935,0,bipartite_non_edge,169.0,155.0
P11746,P52891,0,bipartite_non_edge,169.0,155.0
P11746,P54786,0,bipartite_non_edge,169.0,155.0
P11746,P80667,0,bipartite_non_edge,169.0,155.0
P11746,Q02884,0,bipartite_non_edge,169.0,155.0
P11746,Q04477,0,bipartite_non_edge,169.0,155.0
P11978,P16474,0,bipartite_non_edge,169.0,155.0
P11978,P17106,0,bipartite_non_edge,169.0,155.0
P11978,P20050,0,bipartite_non_edge,169.0,155.0
P11978,P26343,0,bipartite_non_edge,169.0,155.0
P11978,P27515,0,bipartite_non_edge,169.0,155.0
P11978,P30822,0,bipartite_non_edge,169.0,155.0
P11978,P31539,0,bipartite_non_edge,169.0,155.0
P11978,P32458,0,bipartite_non_edge,169.0,155.0
P11978,P32849,0,bipartite_non_edge,169.0,155.0
P11978,P33419,0,bipartite_non_edge,169.0,155.0
P11978,P35056,0,bipartite_non_edge,169.0,155.0
P11978,P38272,0,bipartite_non_edge,169.0,155.0
P11978,P38523,0,bipartite_non_edge,169.0,155.0
P11978,P38822,0,bipartite_non_edge,169.0,155.0
P11978,P38930,0,bipartite_non_edge,169.0,155.0
P11978,P39007,0,bipartite_non_edge,169.0,155.0
P11978,P39998,0,bipartite_non_edge,169.0,155.0
P11978,P40089,0,bipartite_non_edge,169.0,155.0
P11978,P41543,0,bipartite_non_edge,169.0,155.0
P11978,P46946,0,bipartite_non_edge,169.0,155.0
P11978,P52891,0,bipartite_non_edge,169.0,155.0
P11978,P53112,0,bipartite_non_edge,169.0,155.0
P11978,P53971,0,bipartite_non_edge,169.0,155.0
P11978,P57743,0,bipartite_non_edge,169.0,155.0
P11978,Q00684,0,bipartite_non_edge,169.0,155.0
P11978,Q02884,0,bipartite_non_edge,169.0,155.0
P11978,Q02939,0,bipartite_non_edge,169.0,155.0
P11978,Q04048,0,bipartite_non_edge,169.0,155.0
P11978,Q06704,0,bipartite_non_edge,169.0,155.0
P11978,Q08581,0,bipartite_non_edge,169.0,155.0
P11978,Q12154,0,bipartite_non_edge,169.0,155.0
P11978,Q12159,0,bipartite_non_edge,169.0,155.0
P11978,Q12440,0,bipartite_non_edge,169.0,155.0
P12753,P12904,0,bipartite_non_edge,169.0,155.0
P12753,P16522,0,bipartite_non_edge,169.0,155.0
P12753,P24279,0,bipartite_non_edge,169.0,155.0
P12753,P26343,0,bipartite_non_edge,169.0,155.0
P12753,P27515,0,bipartite_non_edge,169.0,155.0
P12753,P29340,0,bipartite_non_edge,169.0,155.0
P12753,P32361,0,bipartite_non_edge,169.0,155.0
P12753,P32504,0,bipartite_non_edge,169.0,155.0
P12753,P32618,0,bipartite_non_edge,169.0,155.0
P12753,P32796,0,bipartite_non_edge,169.0,155.0
P12753,P34730,0,bipartite_non_edge,169.0,155.0
P12753,P38247,0,bipartite_non_edge,169.0,155.0
P12753,P39723,0,bipartite_non_edge,169.0,155.0
P12753,P41543,0,bipartite_non_edge,169.0,155.0
P12753,P47037,0,bipartite_non_edge,169.0,155.0
P12753,P47129,0,bipartite_non_edge,169.0,155.0
P12753,P52917,0,bipartite_non_edge,169.0,155.0
