Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
Q5BKZ1,0.03264604810996564,0.06872852233676977,0.037800687285223365,0.05670103092783505,0.010309278350515464,0.041237113402061855,0.13402061855670103,0.11168384879725086,0.027491408934707903,0.037800687285223365,0.027491408934707903,0.06701030927835051,0.029209621993127148,0.041237113402061855,0.044673539518900345,0.09106529209621993,0.037800687285223365,0.001718213058419244,0.0429553264604811,0.058419243986254296,10,6,5,2,1,7,0,4,3,4,0,7,2,0,3,2,6,3,3,5,3,1,2,2,1,1,0,0,7,1,2,0,0,2,0,8,3,3,1,2,6,0,0,0,0,0,0,0,0,2,5,4,1,1,2,0,0,0,3,3,1,3,0,5,1,7,1,3,2,1,1,1,1,3,0,5,0,3,2,5,3,2,3,1,2,2,3,1,2,3,0,0,0,0,0,0,0,0,7,4,5,4,1,2,0,6,0,3,0,3,1,0,5,3,6,5,5,6,0,1,2,1,4,5,4,0,1,2,6,2,2,1,0,2,4,3,1,3,2,0,1,0,1,1,0,1,0,1,0,4,0,1,1,0,3,3,3,2,0,2,0,0,0,6,2,0,1,0,1,2,3,2,2,2,0,2,1,2,1,1,2,1,2,3,1,2,2,2,0,0,0,0,0,0,0,0,5,3,2,0,6,2,0,1,1,1,3,4,1,0,5,3,3,3,1,1,0,2,3,0,1,1,0,0,1,5,0,1,4,1,0,0,2,5,0,2,4,0,1,1,0,0,0,0,0,6,2,3,0,2,9,0,1,3,5,3,4,4,0,5,3,2,3,2,0,0,0,3,2,1,1,0,0,4,0,1,0,3,4,0,8,6,1,1,1,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.53184165232358,0.11703958691910499,-0.3803786574870912,-0.07401032702237521,-2.3442340791738383,0.26506024096385544,0.20137693631669534,0.14285714285714285,-0.8313253012048193,-1.927710843373494,-1.8347676419965577,-0.13941480206540446,-1.0619621342512908,-1.7710843373493976,0.11015490533562823,-0.03442340791738382,-0.6695352839931153,-2.449225473321859,-1.1325301204819278,-1.6419965576592082
Q5C9Z4,0.08372093023255814,0.08139534883720931,0.026744186046511628,0.053488372093023255,0.011627906976744186,0.03372093023255814,0.1058139534883721,0.07325581395348837,0.023255813953488372,0.03488372093023256,0.10930232558139535,0.08255813953488372,0.023255813953488372,0.03488372093023256,0.03488372093023256,0.07906976744186046,0.04186046511627907,0.005813953488372093,0.012790697674418604,0.047674418604651166,7,12,11,3,5,4,0,8,7,2,4,6,4,1,11,6,4,5,5,3,0,3,4,1,0,5,3,0,7,3,3,1,8,4,0,4,4,4,1,3,6,1,1,1,0,0,0,0,0,8,5,6,4,7,6,0,5,9,9,7,6,5,0,6,12,2,2,3,2,1,5,1,7,1,3,3,0,3,7,5,1,9,5,0,4,4,6,0,7,5,0,0,0,0,0,2,0,1,8,7,6,1,5,2,2,10,8,7,3,5,5,0,3,4,2,2,1,2,0,6,2,1,2,1,4,0,3,2,3,3,1,4,0,0,5,4,4,1,3,1,0,1,0,0,0,0,0,6,3,4,2,1,3,0,1,4,2,2,3,2,2,3,3,1,2,1,3,0,0,1,1,0,2,1,0,4,3,0,2,4,0,0,1,3,3,1,1,1,1,0,0,0,0,0,0,0,6,3,3,4,7,2,0,7,7,5,3,7,4,0,3,5,1,3,4,1,0,2,5,0,0,1,0,0,6,13,4,1,7,4,0,4,4,3,4,4,4,0,0,0,0,0,0,0,0,5,2,5,2,1,6,0,5,5,2,1,2,6,0,5,8,4,2,1,7,0,3,3,3,2,1,0,0,2,5,1,0,6,5,0,8,1,6,2,2,15,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.529685681024447,-0.018626309662398137,-0.5762514551804424,-0.43655413271245636,-2.2153667054714785,-0.05238649592549476,0.1420256111757858,-1.280558789289872,-0.8568102444703143,-1.2246798603026776,-1.0023282887077998,0.047729918509895226,-0.8928987194412107,-1.6169965075669384,-0.6752037252619325,-0.002328288707799767,-0.43655413271245636,-2.4703143189755528,-1.350407450523865,-1.0465657741559953
Q5H9R7,0.052691867124856816,0.035509736540664374,0.046964490263459335,0.07216494845360824,0.019473081328751432,0.045819014891179836,0.10423825887743414,0.041237113402061855,0.021764032073310423,0.058419243986254296,0.09965635738831616,0.05154639175257732,0.026345933562428408,0.04009163802978236,0.049255441008018326,0.10423825887743414,0.06643757159221077,0.011454753722794959,0.006872852233676976,0.045819014891179836,2,3,4,3,0,5,1,5,5,3,5,5,6,2,2,3,6,4,3,8,1,3,2,5,1,2,1,0,0,2,1,0,0,3,1,3,6,5,2,1,7,0,0,0,0,0,1,0,0,6,4,7,3,2,4,0,4,12,11,10,6,16,1,9,8,7,5,1,6,0,7,6,3,4,3,4,2,3,3,3,2,3,6,0,7,9,8,4,2,6,2,0,2,1,1,0,2,0,5,9,3,5,2,3,0,6,10,7,5,4,7,0,6,8,10,7,3,7,1,4,8,6,3,2,2,0,1,4,2,2,2,1,0,4,5,7,8,4,2,0,1,1,0,0,0,0,0,2,5,8,0,1,3,0,5,11,7,3,2,4,0,3,3,7,6,1,4,0,2,5,2,1,0,0,0,1,3,0,0,4,5,0,2,5,2,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,1,4,0,4,8,2,1,1,1,0,2,6,1,1,1,1,0,1,4,2,1,0,1,0,1,2,2,3,1,1,0,0,4,2,2,3,6,0,1,0,0,0,0,1,1,0,8,4,3,1,4,0,2,14,5,5,2,2,3,5,9,10,2,3,4,0,1,7,6,0,6,2,0,1,3,4,1,0,1,2,3,4,9,5,1,10,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,-0.24655963302752293,-0.7970183486238532,-0.8532110091743119,-0.8038990825688074,-2.3188073394495414,-0.06077981651376147,-0.12041284403669725,-1.2626146788990826,-0.9954128440366973,-1.364678899082569,-1.099770642201835,-0.555045871559633,-0.9311926605504587,-1.7660550458715596,0.3302752293577982,0.15481651376146788,-0.006880733944954129,-2.7362385321100917,-1.5011467889908257,-0.8795871559633027
Q5HYI8,0.046610169491525424,0.059322033898305086,0.059322033898305086,0.06779661016949153,0.012711864406779662,0.03389830508474576,0.05508474576271186,0.07627118644067797,0.025423728813559324,0.038135593220338986,0.1059322033898305,0.059322033898305086,0.00423728813559322,0.0423728813559322,0.03389830508474576,0.08050847457627118,0.05508474576271186,0.012711864406779662,0.03389830508474576,0.09745762711864407,4,2,4,1,1,1,0,5,4,2,1,1,1,0,2,1,1,2,1,1,1,1,0,2,1,0,0,0,2,0,1,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,4,1,2,2,2,0,3,3,1,3,1,0,0,3,0,2,1,3,0,0,2,2,1,3,0,2,0,1,0,2,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,4,2,2,0,0,1,0,3,0,0,1,1,1,0,2,0,1,0,4,0,0,0,1,2,0,1,0,0,2,2,1,0,2,1,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,1,0,1,0,1,1,0,3,0,1,3,2,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,2,0,0,0,1,2,1,0,0,2,0,0,1,1,0,0,0,0,0,1,1,1,1,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,2,4,2,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0468085106382978,-1.1319148936170214,-1.195744680851064,-1.4127659574468086,-1.4638297872340424,-1.025531914893617,-1.0085106382978724,-2.008510638297872,-1.4595744680851064,-1.097872340425532,-1.2382978723404254,-0.8936170212765957,-1.1914893617021276,-1.7319148936170212,-2.0340425531914894,-0.7106382978723405,-0.8382978723404255,-2.931914893617021,-1.6,-0.9872340425531915
Q5JPE7,0.049723756906077346,0.036306235201262825,0.03472770323599053,0.04814522494080505,0.01499605367008682,0.042620363062352014,0.06550907655880031,0.08445146014206788,0.021310181531176007,0.05130228887134965,0.10102604577742699,0.05445935280189424,0.01578531965272297,0.04656669297553275,0.05367008681925809,0.07813733228097869,0.07103393843725335,0.006314127861089187,0.036306235201262825,0.08760852407261246,16,11,9,6,8,9,1,12,16,10,4,5,6,2,16,18,9,5,3,4,1,12,10,6,2,4,5,1,6,7,10,2,0,4,0,6,10,8,2,3,7,0,3,0,1,0,0,1,0,16,17,10,9,6,2,1,18,27,16,8,6,6,0,21,19,14,6,4,4,2,5,10,5,4,2,6,0,8,12,5,2,1,4,0,12,11,6,3,2,3,0,0,2,3,1,0,0,0,16,10,20,12,5,7,1,15,17,16,10,8,7,1,12,17,5,3,3,4,1,3,8,4,0,3,2,0,5,6,2,3,2,3,0,4,7,3,2,0,2,0,0,2,1,0,1,1,0,5,8,3,4,3,7,0,7,7,7,3,4,6,1,7,8,4,2,3,0,0,3,4,1,1,1,1,0,1,4,2,2,3,1,0,2,6,2,2,3,2,0,1,0,1,1,0,0,0,2,3,6,6,2,4,1,3,7,11,3,2,6,1,4,9,6,0,4,1,1,2,1,3,1,2,0,2,3,1,2,0,0,1,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,4,4,7,3,5,7,1,6,7,9,4,6,5,1,9,3,6,3,3,3,0,5,2,4,3,1,2,0,1,2,4,2,1,2,0,4,3,3,4,2,3,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.39731437598736175,-1.080568720379147,-0.08767772511848342,-0.3988941548183254,-1.9747235387045814,-0.49447077409162715,-0.504739336492891,-0.8262243285939969,-1.1990521327014219,-0.9044233807266983,-1.0829383886255923,-0.41627172195892576,-0.9486571879936809,-1.3736176935229067,-1.0086887835703002,0.026066350710900472,0.31200631911532384,-2.1966824644549763,-0.9676145339652449,-0.5292259083728278
Q5JWF2,0.1359691417550627,0.06846673095467695,0.03278688524590164,0.0665380906460945,0.01253616200578592,0.03857280617164899,0.0781099324975892,0.08196721311475409,0.01253616200578592,0.033751205400192864,0.05400192864030858,0.03664416586306654,0.01832208293153327,0.037608486017357765,0.11571841851494696,0.06943105110896818,0.029893924783027964,0.008678881388621022,0.020250723240115717,0.048216007714561235,27,25,13,4,6,12,1,28,10,8,5,2,7,1,11,8,6,1,1,9,0,8,9,1,0,1,1,0,5,5,8,2,6,4,1,7,13,2,4,3,7,0,1,0,1,0,0,1,0,23,9,9,8,7,11,1,11,18,12,6,6,10,0,6,7,7,2,4,7,1,2,7,6,2,6,6,0,3,4,5,2,2,2,0,8,11,4,4,2,5,0,2,0,0,2,0,0,0,11,4,7,1,6,7,0,8,5,2,4,3,2,1,12,2,4,1,2,3,0,2,2,2,2,4,0,0,7,2,1,1,1,2,0,7,8,4,1,0,7,0,2,0,2,0,0,0,0,6,5,3,1,3,0,1,6,6,4,5,5,3,1,1,2,3,1,3,1,2,1,3,0,1,1,2,0,3,5,0,3,3,1,0,3,4,3,0,0,1,0,0,0,0,0,0,0,0,10,4,1,2,4,1,0,4,6,2,7,0,2,1,6,2,1,2,2,2,0,5,3,2,2,1,0,0,4,1,1,3,7,5,0,6,4,1,0,1,2,0,0,0,0,0,1,1,0,10,14,3,4,3,4,0,11,17,6,2,2,10,0,0,3,2,4,2,5,1,1,5,2,1,1,2,0,0,4,0,2,2,0,1,7,7,3,2,3,4,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.04247104247104247,-0.556949806949807,-1.3204633204633205,-1.3397683397683398,-2.700772200772201,-0.05019305019305019,-0.4700772200772201,-0.42857142857142855,-0.9623552123552124,-1.8677606177606179,-1.472972972972973,-0.6602316602316602,-1.3725868725868726,-2.1476833976833976,1.3629343629343629,0.4642857142857143,0.07142857142857142,-3.3156370656370657,-1.777992277992278,-1.1032818532818534
Q5LJA5,0.07042253521126761,0.03943661971830986,0.04225352112676056,0.04788732394366197,0.022535211267605635,0.0676056338028169,0.10140845070422536,0.05352112676056338,0.01971830985915493,0.059154929577464786,0.09014084507042254,0.07605633802816901,0.028169014084507043,0.05070422535211268,0.04507042253521127,0.061971830985915494,0.03380281690140845,0.016901408450704224,0.016901408450704224,0.056338028169014086,0,3,2,1,1,2,0,5,2,2,4,3,3,1,2,4,3,0,0,0,0,4,0,1,2,2,1,0,0,1,1,0,1,1,1,0,2,3,1,2,2,0,1,0,0,0,0,0,0,1,2,4,3,2,5,0,3,8,3,1,0,3,0,0,1,1,7,2,2,0,1,2,0,2,1,3,0,2,3,2,2,1,1,0,2,5,5,0,1,3,0,1,0,0,1,0,0,1,2,3,0,0,0,0,1,3,1,3,2,2,2,1,1,0,0,2,1,0,0,2,2,3,4,1,0,0,0,1,1,0,2,0,0,1,2,2,2,0,0,0,0,0,0,1,0,0,0,2,3,1,2,1,2,0,3,1,0,0,2,2,0,1,2,0,1,0,0,1,1,1,1,1,5,1,1,3,3,0,1,1,1,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,2,2,1,2,1,0,0,2,4,0,1,2,3,0,1,0,0,0,1,3,0,1,2,0,0,0,1,0,1,2,0,0,1,2,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,6,0,1,0,1,0,1,2,4,1,2,3,1,1,7,1,2,0,2,0,2,0,0,2,0,0,0,2,2,0,1,0,0,0,3,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.615819209039548,-0.8050847457627118,-0.4915254237288136,-0.731638418079096,-1.9124293785310735,-0.2514124293785311,-0.1497175141242938,-1.5169491525423728,-0.980225988700565,-1.0847457627118644,-0.9915254237288136,-0.2937853107344633,-0.788135593220339,-1.4943502824858756,-1.3559322033898304,-0.4322033898305085,-0.5225988700564972,-2.2937853107344632,-1.1864406779661016,-0.943502824858757
Q5M775,0.07397003745318352,0.060861423220973786,0.03932584269662921,0.035580524344569285,0.011235955056179775,0.05056179775280899,0.11423220973782772,0.047752808988764044,0.020599250936329586,0.03089887640449438,0.10486891385767791,0.08052434456928839,0.015917602996254682,0.016853932584269662,0.052434456928838954,0.11423220973782772,0.06647940074906367,0.006554307116104869,0.013108614232209739,0.04400749063670412,12,5,11,1,7,4,0,5,9,5,2,4,2,0,6,8,10,7,8,3,1,5,6,2,2,3,3,0,4,6,4,3,2,5,1,5,3,7,2,0,0,2,1,1,0,0,0,0,0,7,7,6,3,3,3,1,6,4,7,5,8,8,0,8,9,11,2,11,8,1,3,2,5,4,6,3,0,9,4,8,4,3,7,0,3,10,11,8,7,3,0,0,0,1,0,0,0,0,8,4,12,4,5,5,1,3,8,15,7,4,11,1,11,8,14,5,6,6,1,0,6,4,5,2,2,0,4,11,6,3,7,2,0,6,9,4,2,5,3,0,0,0,1,0,2,0,0,4,1,4,2,2,3,0,1,3,6,4,8,5,0,3,7,4,1,2,1,0,3,4,0,8,1,6,0,2,4,2,2,3,5,0,5,5,2,2,0,7,1,0,0,1,1,0,0,0,5,4,4,4,4,2,0,8,5,9,4,6,6,0,6,7,6,2,1,5,0,2,5,2,2,2,4,1,1,7,3,2,2,3,0,5,4,2,6,5,3,0,0,0,0,0,0,1,0,3,6,6,7,4,2,0,6,9,8,1,5,9,0,5,8,5,2,5,4,0,3,4,5,1,3,4,1,3,5,4,3,1,3,0,4,7,3,1,2,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.3936269915651359,0.4639175257731959,-0.5238987816307404,-0.6925960637300843,-2.8003748828491095,1.4817244611059044,1.7656982193064668,-2.847235238987816,-0.53514526710403,-1.4395501405810684,-0.1836925960637301,1.099343955014058,-0.5014058106841612,-3.0243673851921273,-3.0412371134020617,-0.246485473289597,-0.8078725398313027,-3.4667291471415185,-2.6007497656982195,-1.5332708528584817
Q5NCF2,0.027586206896551724,0.06206896551724138,0.027586206896551724,0.041379310344827586,0.013793103448275862,0.027586206896551724,0.04827586206896552,0.06206896551724138,0.041379310344827586,0.034482758620689655,0.1103448275862069,0.06206896551724138,0.041379310344827586,0.06206896551724138,0.04827586206896552,0.0896551724137931,0.041379310344827586,0.006896551724137931,0.06896551724137931,0.08275862068965517,1,2,0,2,2,0,0,0,1,1,0,0,2,0,0,3,4,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,3,2,4,1,0,1,1,1,3,1,0,2,1,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,2,1,0,0,0,2,0,3,1,1,0,2,3,1,0,0,0,0,1,2,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,1,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7847222222222222,-0.9722222222222222,-0.5833333333333334,-1.0486111111111112,-2.0,-0.5972222222222222,-0.7638888888888888,-1.7777777777777777,-0.6875,-0.8194444444444444,-0.7986111111111112,-0.5486111111111112,-0.4791666666666667,-0.8680555555555556,-1.6597222222222223,-0.3263888888888889,-0.4513888888888889,-2.2152777777777777,-0.6527777777777778,-0.8194444444444444
Q5QPK2,0.03832752613240418,0.07665505226480836,0.03484320557491289,0.04878048780487805,0.010452961672473868,0.020905923344947737,0.06620209059233449,0.09059233449477352,0.013937282229965157,0.08362369337979095,0.11149825783972125,0.0627177700348432,0.017421602787456445,0.03484320557491289,0.04529616724738676,0.08710801393728224,0.03832752613240418,0.013937282229965157,0.04529616724738676,0.059233449477351915,1,2,0,1,1,2,0,1,5,3,0,3,3,1,6,2,1,0,0,1,0,1,1,0,0,1,0,0,1,1,3,0,0,1,0,1,3,2,0,3,1,0,0,0,0,0,1,0,0,1,2,3,0,1,2,0,5,9,4,4,4,2,0,5,2,1,2,3,1,0,3,0,1,1,1,2,0,0,4,1,0,2,3,0,1,2,3,2,1,0,0,0,0,0,0,0,0,1,2,6,5,2,2,3,1,0,6,1,0,2,2,0,2,1,0,1,1,1,0,2,3,0,0,0,0,0,2,0,2,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,0,2,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,4,3,1,1,1,0,5,1,1,0,2,1,0,0,0,0,1,1,0,0,0,3,2,0,1,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,3,2,2,0,1,0,2,3,1,2,0,0,0,2,0,2,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.7657342657342657,-0.7167832167832168,-0.9965034965034965,-1.06993006993007,-1.9335664335664335,-1.0384615384615385,-1.0,-1.7272727272727273,-0.951048951048951,-0.7587412587412588,-0.8286713286713286,-0.9370629370629371,-0.8846153846153846,-0.9790209790209791,-1.437062937062937,-0.7832167832167832,-0.7972027972027972,-1.583916083916084,-0.8566433566433567,-0.7972027972027972
Q5SNT2,0.0960960960960961,0.07207207207207207,0.02702702702702703,0.02702702702702703,0.03303303303303303,0.04504504504504504,0.03753753753753754,0.07057057057057058,0.03303303303303303,0.018018018018018018,0.12912912912912913,0.028528528528528527,0.010510510510510511,0.04054054054054054,0.08708708708708708,0.10810810810810811,0.05555555555555555,0.012012012012012012,0.021021021021021023,0.04804804804804805,11,9,9,3,0,2,2,7,15,10,3,2,0,1,7,8,7,2,1,2,0,4,3,4,3,1,2,1,1,3,3,1,1,1,0,3,1,1,1,1,3,1,2,0,1,0,0,0,0,7,11,6,8,4,2,1,17,19,11,2,6,2,1,10,11,8,3,3,3,0,1,3,2,5,3,1,1,4,3,6,2,5,1,1,1,1,1,0,1,0,0,0,0,3,0,1,1,1,11,5,5,5,2,1,0,8,17,6,2,3,1,2,5,10,6,4,1,3,0,2,0,3,2,0,5,0,2,2,1,1,2,0,0,5,1,1,1,0,1,0,2,1,0,0,0,0,0,2,4,3,1,1,2,0,2,3,1,3,1,0,2,1,6,2,3,0,1,1,2,3,2,5,2,1,2,1,3,1,3,0,0,0,2,4,0,1,0,1,1,0,2,0,2,1,0,0,2,5,0,0,1,2,0,3,2,7,3,5,1,0,4,3,3,0,2,0,0,3,0,3,1,1,0,0,1,7,1,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,3,3,2,1,1,2,0,1,1,2,2,2,0,0,1,0,2,0,1,0,1,0,2,0,1,0,0,1,0,2,0,0,2,0,0,0,0,3,0,2,2,0,0,1,0,1,0,0,0,0,1,2,0,1,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.24661654135338346,-0.8015037593984963,-0.8240601503759398,-1.3398496240601503,-1.4977443609022556,-0.5022556390977444,-0.7774436090225564,-1.2300751879699248,-1.069172932330827,-1.2030075187969924,-1.0781954887218046,-0.675187969924812,-0.7684210526315789,-1.4030075187969926,-0.8195488721804511,-0.055639097744360905,-0.24210526315789474,-2.1398496240601506,-1.1774436090225564,-0.9368421052631579
